Name;Year;Control;Power;Consuming;Knowledge;Information;Surveillance;Security;Money Wealth;Change;Progress;Community;Empowerment;Decoration;Escape;Symbolism;Globalisation;Mobility;Visibility;Fun
CH-1995-1;1995;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
CH-1995-3;1995;0,3;0;0;0;0;0;0;0,4;0;0,7;0,3;0,2;0,1;0;0;0;0,3;0;0
E-1995-4;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-7;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-19;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-23;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1995-34;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I-1995-2;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I-1995-12;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I-1995-19;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1996-7;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
E-1996-9;1996;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blue Poster;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Connection;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Decor;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Doll's House;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Eve;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glass;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Green Wall;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NL-1997-1;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pit;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Soil;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wood;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Contour;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13 Aeroplanes;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A Moon;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bay Area;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Constellation;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Double Mist;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
H2O;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
High Pool;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Landscape;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Long Beach;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Meander;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Neon;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Suburb;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transit;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Water;1998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Apartment;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3 Piano;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Avenue;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Block;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Circuit;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Corridor;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Interval;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Set;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transfer;1999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Descent;2000;0;0;0;0;0;0;0;0;0;0;0,5;0;0,3;0;0;0;1;0;0
Balance;2000;0;0;0;0;0;0;1;0;0;0;0,5;0;0,5;0;0;0;1;0,6;0
Complex;2000;0;0;0;0;0;0;0;1;0;0;0;0;0,3;0,7;0;0;0;0,2;0,5
Court;2000;0;0;0;0;0;0;0,2;0;0;0;0,5;0;1;0;0;0;0;1;0,5
Facade;2000;0;0;0;0;0;0;0,5;0;0;0;0;0;0,5;0;0;0;0;1;0
Flow;2000;0,5;0;0;0;0;0;0,2;0,4;0;0;0,7;0;0;0,5;0;0;1;0;0
Home;2000;0;0;0,8;0;0;0;0;0;0;0,3;0;0,3;1;0;0;0;0;1;0,5
